2014-02-28 18:02:49 INFO ihm.Calibration : Properties : 
autofocus_calibration_data=logs/calibration.data
simulation_calibration_data=test/calib_prod1_3_droneId_5.data
paparazzi_script_calibration=paparazzi_calibration/calibrate.py

2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before 200.0 -35.0 -2207.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after 200.0 -35.0 -2207.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector before 139.0 6.0 -1821.0
2014-02-28 18:02:55 INFO filtre.FilterSphere : FilterSphere.add vector after 139.0 6.0 -1821.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector before 300.0 3.0 -1858.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector after 300.0 3.0 -1858.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector before 242.0 -56.0 -2231.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector after 242.0 -56.0 -2231.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector before 283.0 -101.0 -2168.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector after 283.0 -101.0 -2168.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector before 345.0 -187.0 -2422.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector after 345.0 -187.0 -2422.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector before 207.0 -153.0 -2076.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector after 207.0 -153.0 -2076.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector before 376.0 -224.0 -2125.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector after 376.0 -224.0 -2125.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector before 180.0 -202.0 -1908.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector after 180.0 -202.0 -1908.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector before 211.0 -221.0 -1986.0
2014-02-28 18:02:56 INFO filtre.FilterSphere : FilterSphere.add vector after 211.0 -221.0 -1986.0
